epoch,train_loss,val_loss,mAP50,mAP@[.5:.95],Precision,Recall
1,0.29016876751131515,0.26979806857720146,0.9008543454082955,0.4441631419362736,0.4441631419362736,0.5461109144429938
2,0.2419408151422012,0.2549347202686519,0.9046748599624305,0.4491857360399511,0.4491857360399511,0.5518842351871888
3,0.22760061818249983,0.24476379521957134,0.9343604672087504,0.48268230799859196,0.48268230799859196,0.5679171957883501
4,0.2183691908897828,0.25631272558675705,0.9236868341259552,0.4716474491793882,0.4716474491793882,0.5532739692970083
5,0.21160592094396036,0.24880865243625774,0.9111345202103247,0.4691778695784674,0.4691778695784674,0.552004410289966
6,0.17515207021723436,0.23550460382638397,0.9382554179524669,0.5030079141622851,0.5030079141622851,0.5802392199139796
7,0.16497452611791172,0.2364013449114564,0.9415453327602844,0.5079451604172966,0.5079451604172966,0.5822099498224522
8,0.159117513616516,0.2342397864496066,0.9385160109566317,0.5020929735517012,0.5020929735517012,0.5777369692920961
9,0.1537704549836531,0.2374899538521132,0.9382253384978176,0.49932063361483875,0.49932063361483875,0.5751309175114209
10,0.14889504719914584,0.23966210786520598,0.9374524537216761,0.49788440728097,0.49788440728097,0.5745541226912414
11,0.14036248014068758,0.23873441477480528,0.935158653793539,0.5019930478031663,0.5019930478031663,0.5773772783513742
12,0.13894708035682599,0.2384700204528485,0.936563466023555,0.5005757416948862,0.5005757416948862,0.5749493197501379
13,0.13797049421311894,0.23878116751040912,0.9343534888583015,0.4995688098793475,0.4995688098793475,0.5739439953905323
14,0.1369972334336557,0.23881829859893028,0.9348947090329467,0.4993439224211038,0.4993439224211038,0.5747456513896038
15,0.13601956393858763,0.23932149987143875,0.9343879154065182,0.49972151163671813,0.49972151163671813,0.5742382208851406
16,0.13509255630505138,0.23928070022019077,0.9342720185112632,0.49979326095724624,0.49979326095724624,0.5748215931149911
17,0.1344453388402283,0.24012307075929948,0.9342701554484079,0.4996836024135277,0.4996836024135277,0.5748595178882409
18,0.13438958035811696,0.2395417656944604,0.9341484815530187,0.5000239074941681,0.5000239074941681,0.574926888166468
19,0.13444534372173633,0.2399369885162184,0.9340784530462649,0.4998031184973286,0.4998031184973286,0.5744086489440325
20,0.1341933210166286,0.2393983245351208,0.9344029525869616,0.4998066131286415,0.4998066131286415,0.5741259874395739
21,0.13442751204566605,0.23997631263092636,0.9343868381072064,0.5003099746759867,0.5003099746759867,0.5745903388842033
22,0.13391475062081193,0.23950770724777976,0.934285492597408,0.5000885511678753,0.5000885511678753,0.5745702200985633
23,0.13411009744919994,0.23931751680532407,0.9340659641258634,0.5001114116218565,0.5001114116218565,0.5745253569312236
24,0.13383454610299836,0.24017538682934328,0.9340661273420874,0.49996554977864976,0.49996554977864976,0.5744602994510265
25,0.13414442257859768,0.23941218270897635,0.9340683019438908,0.5003822190631271,0.5003822190631271,0.5748822515807815
26,0.13393805772397044,0.23992014772445686,0.9340683322828361,0.5003801063331241,0.5003801063331241,0.5748822515807817
27,0.1340973154061553,0.23950587815643948,0.9340681194546389,0.5004188862905272,0.5004188862905272,0.5748822515807817
28,0.1344476758703006,0.23976836470068658,0.9340875830766275,0.5003738518653994,0.5003738518653994,0.5748598199971118
29,0.13453238765811082,0.239921576835786,0.9340610098459889,0.5003643183135481,0.5003643183135481,0.5747924497188847
